Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,State,FIPS,Latitude,Longitude,WNV_Corvid_Count,WNV_NonCorvid_Count,Total_Bird_WNV_Count,Mos_WNV_Count,Horse_WNV_Count,Date,avg_u10,avg_v10,avg_t2m,avg_lai_hv,avg_lai_lv,avg_src,avg_sf,avg_ssr,avg_sro,avg_e,avg_tp,avg_swvl1,max_u10,min_u10,max_v10,min_v10,max_t2m,min_t2m,max_lai_hv,min_lai_hv,max_lai_lv,min_lai_lv,max_src,min_src,max_sf,min_sf,max_ssr,min_ssr,max_sro,min_sro,max_e,min_e,max_tp,min_tp,max_swvl1,min_swvl1,Evergreen/Deciduous Needleleaf Trees,Evergreen Broadleaf Trees,Deciduous Broadleaf Trees,Mixed Trees,Shrub,Herbaceous,Culture/Managed,Wetland,Urban/Built,Snow/Ice,Barren,Water,Population,PD
2014,seward,Human infections and non-human activity,3.0,0.0,1.0,nebraska,31159.0,40.91,-97.09,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.3870151661846736,0.2103517676052982,283.7593679558739,0.0,1.1541338871603142,2.436090746339512e-05,9.628395958203964e-05,4857678.020205476,8.811607370025486e-05,-0.0007420740806344,0.0013146277682932,0.2819266094430667,2.762384,-1.2857932,2.1537948,-2.2614684,301.03723,264.89142,0.0,0.0,2.1271894,0.6620177,0.0001292561,1.7846469e-07,0.000665104,-9.313226e-10,20590532.0,1.0,0.0007439754,-9.313226e-10,-1.6741455e-05,-0.004349056,0.005619784,1.9310042e-05,0.34756035,0.18420778,0,0,0,1,0,17,45,0,37,0,0,0,"17,012",0.299288101
2003,bledsoe,Non-human activity,,,,tennessee,47007.0,35.6,-85.19,3.0,0.0,3.0,0.0,0.0,2003-01-01,0.3775721825965462,0.2971053359034941,286.4809493809529,2.939008088961039,0.8140735198373668,0.0001179948475846,7.708464009202501e-05,4792650.889383557,0.000225344158658,-0.0009832261513746,0.0025965064987285,0.4483642576491994,1.3887253,-0.21619165,0.7951379,-0.7174504,300.48737,270.79105,4.3334813,1.6115773,0.8159058,0.81273353,0.00031378388,2.298312e-05,0.000855227,-9.313226e-10,17136088.0,1.0,0.0013201376,1.0160729e-06,-2.2798777e-05,-0.0044428175,0.00959374,9.7045675e-05,0.48098382,0.4079623,0,0,26,4,0,5,66,0,0,0,0,0,12502,0.488335857
2009,forrest,Human infections,10.0,8.0,0.0,mississippi,28035.0,31.31,-89.3,0.0,0.0,0.0,0.0,0.0,2009-01-01,0.0051671712365868,0.2717187937400111,292.0313398387333,4.420772763474346,2.6553009372867926,0.0001318397383665,1.0564196089359176e-06,5375054.002397255,0.0001854062536476,-0.0012633581327638,0.0022908177813642,0.4203251126081975,0.9323825,-0.6843674,1.621716,-0.92038274,306.18762,280.24185,4.9828305,3.6880946,2.996962,2.2078657,0.00038323036,2.0140491e-05,1.4550053e-05,-9.313226e-10,21102624.0,1.0,0.0010330738,5.075708e-07,-8.70307e-05,-0.0043379515,0.009349638,4.1591004e-05,0.45897314,0.31384766,0,0,0,18,0,19,0,0,63,0,0,0,74863,0.538232795
2004,boone,Human infections,1.0,0.0,0.0,nebraska,31011.0,41.68,-98.0,0.0,0.0,0.0,0.0,0.0,2004-01-01,0.4012809372583374,0.4391105922519185,283.3375487197294,0.0,1.2080883735516037,3.0041423207101205e-05,0.0001302655656501,4501070.228142078,4.532936352300028e-05,-0.0007229213505191,0.0011557723933708,0.291147043714758,1.9945242,-0.798839,4.169507,-0.9114735,298.67313,265.0314,0.0,0.0,2.4143145,0.6664963,0.00017806496,5.608599e-07,0.00082806684,-9.313226e-10,18431620.0,1.0,0.00037859846,-9.313226e-10,-2.7341302e-06,-0.004230183,0.0038887914,1.1881813e-05,0.36165264,0.20369227,0,0,0,0,0,8,92,0,0,0,0,0,5813,-0.756175074
2013,gallatin,Non-human activity,,,,illinois,17059.0,37.71,-88.16,0.0,0.0,0.0,0.0,0.0,2013-01-01,0.3841971637451483,0.4071908714836589,286.56977181630583,1.688827615241481,2.788720599265947,6.912809911053244e-05,6.736165537715774e-05,4829759.635273971,0.0001638483169986,-0.0009483701142016,0.0019829623452196,0.3437193529654855,1.3385636,-0.7018597,1.6066198,-0.6342976,301.15146,272.46082,2.714992,1.053557,3.057858,2.623687,0.00014549599,2.0102249e-05,0.0008361498,-9.313226e-10,18318328.0,1.0,0.0006015878,3.3043325e-06,-2.8224895e-05,-0.0043306323,0.004877081,0.00036986545,0.38769615,0.22266701,0,0,0,0,0,19,81,0,0,0,0,0,"5,386",0.306018486
2002,rankin,Human infections and non-human activity,12.0,11.0,0.0,mississippi,28121.0,32.28,-90.0,8.0,3.0,11.0,0.0,13.0,2002-01-01,-0.1600344700764302,0.3352753265671533,291.3886691158763,4.086131850987261,2.5439464209830915,0.0001051691531806,1.4524166918780718e-06,5198600.509246573,0.0002043796677703,-0.0011316694367887,0.0022823075700091,0.414505428667754,0.8750181,-1.1774954,1.2175837,-0.658303,304.29276,277.2786,4.7481947,3.2755928,2.8762279,2.1409984,0.00029649877,2.0420935e-05,1.8753111e-05,-9.313226e-10,19359412.0,1.0,0.0009191632,1.7788261e-06,-6.0530147e-05,-0.003947512,0.0068645542,0.00019854866,0.4661892,0.32728288,19,0,7,22,0,9,18,0,25,0,0,0,,
2013,adams,Human infections,1.0,1.0,0.0,mississippi,28001.0,31.54,-91.38,0.0,0.0,0.0,0.0,0.0,2013-01-01,-0.2795937277682839,0.2396916879774773,292.1040659029189,3.739645315849617,2.6981922940032117,8.247844514649118e-05,1.971341975747728e-08,5343971.366095887,0.0003543768412982,-0.0011816581476747,0.0022351052108131,0.3227834184386141,0.96093607,-1.054535,1.4083896,-1.1903818,305.6848,280.1601,4.5911565,2.6538908,2.9300327,2.4105203,0.00018134098,7.214898e-06,3.2316893e-07,-9.313226e-10,19448036.0,1.0,0.0019113012,-9.313226e-10,-9.737839e-05,-0.004616458,0.0071086558,1.7823651e-05,0.39798215,0.21154271,17,0,14,46,0,5,18,0,0,0,0,0,"32,111",0.527529003
2020,franklin,Non-human activity,,,,washington,53021.0,46.41,-118.9,0.0,0.0,0.0,0.0,0.0,2020-01-01,1.1706291126097488,1.3104786825636054,287.48770614790794,4.943811457013828,0.955115123198984,1.4374608252212774e-05,4.2106370350010106e-05,4975735.177937161,2.422462258223304e-06,-0.0002786271928369,0.0004297221674904,0.1668536399638717,3.0191088,-0.32551837,2.7722433,0.37392962,306.60648,273.60535,4.9554596,4.93454,1.1554053,0.8065133,5.3818483e-05,0.0,0.00025996286,-9.313226e-10,23598210.0,457.0,1.19498e-05,-9.313226e-10,-2.141064e-05,-0.001398297,0.0016388968,2.970919e-06,0.3003331,0.08064541,0,0,0,14,86,0,0,0,0,0,0,0,"97,076",0.569948519
2002,clay,Non-human activity,,,,kentucky,21051.0,37.15,-83.76,0.0,1.0,1.0,0.0,0.0,2002-01-01,0.4797059353083778,0.5563356174589835,286.87435678978466,2.9714310107165804,2.384185791015625e-07,9.362434403020378e-05,9.469742414681868e-05,4988266.451027396,0.0001446344975815,-0.0009906703047294,0.0020854305558876,0.4307569772209204,1.6986988,-0.6288036,1.1972904,-0.31109077,303.02505,273.30634,4.780266,1.4112245,2.3841858e-07,2.3841858e-07,0.0002479576,1.4518999e-05,0.0008898238,-9.313226e-10,17953332.0,1.0,0.0006900714,5.075708e-07,-5.9520593e-05,-0.0045753196,0.0059777666,8.318201e-05,0.4757502,0.3326751,0,0,72,11,0,3,14,0,0,0,0,0,,
2017,chisago,Human infections,0.0,0.0,1.0,minnesota,27025.0,45.39,-92.81,,,,,,2017-01-01,0.4177610945619947,0.0497133288073212,280.73400883086725,1.6704971401658764,2.650221827912003,9.56823729709817e-05,0.0001771724017413,4282192.590753422,0.0001246622103355,-0.0009811763904433,0.0016255221450828,0.366615695536953,1.6814637,-0.6367781,1.2208009,-0.9760654,298.81873,262.2227,2.689464,1.1082993,3.0638294,2.423707,0.00026965325,1.9018742e-05,0.0011303872,-9.313226e-10,20465364.0,1.0,0.0005637021,1.0160729e-06,-3.3398857e-05,-0.0046475017,0.005331615,0.00010348298,0.3874696,0.31750664,1,0,0,0,0,21,73,0,0,0,0,4,"55,257",0.489073328
2013,young,Human infections,0.0,0.0,1.0,texas,48503.0,33.1,-98.57,,,,,,2013-01-01,-0.4233639670561436,1.3999369709867315,291.89891737846466,2.2874640451718684,1.3728088934127596,2.156256645047168e-05,2.912817880103031e-06,5598738.575342465,4.714654618236301e-05,-0.00073004803582,0.0011635441237371,0.2295595062105622,0.9982358,-1.8123623,3.0672376,-0.15493184,307.97836,274.60092,2.3845115,2.197798,1.6770325,1.0837483,4.8069516e-05,1.5169207e-06,3.104005e-05,-9.313226e-10,21664050.0,1.0,0.0003615627,-9.313226e-10,-3.8699014e-05,-0.0037632706,0.00370064,1.9310042e-05,0.28669396,0.14213488,0,0,0,0,0,67,33,0,0,0,0,0,"18,354",0.297672214
2002,greeley,Non-human activity,,,,kansas,20071.0,38.47,-101.75,0.0,0.0,0.0,0.0,1.0,2002-01-01,-0.1652442443044217,0.9539417911474016,285.65595872434847,0.0,0.987344016767528,1.3921783530561582e-05,9.328194715286764e-05,5296497.551369861,4.024558049971109e-06,-0.0004038370552485,0.0006806529318429,0.2065824255245188,2.142437,-2.2548141,4.5808163,-1.7434961,305.12036,269.0339,0.0,0.0,1.2028654,0.8099345,4.4105138e-05,6.373739e-08,0.00052121934,-9.313226e-10,21742166.0,1.0,2.38996e-05,-9.313226e-10,-1.5858095e-05,-0.0021656738,0.0026177792,9.901822e-06,0.27809587,0.14775366,0,0,0,7,9,38,30,0,15,0,0,0,,
2022,mckinley,Human infections,1.0,1.0,0.0,new mexico,35031.0,35.52,-108.73,,,,,,2022-01-01,1.5741973972483854,1.2336299138118136,284.0698249921405,0.0,0.5232736852071055,7.359841391954518e-06,0.0001252054249587,6015810.798287669,3.797588997507746e-06,-0.0003674082976306,0.0005578594084522,0.0897540406311211,7.409672,-0.43304443,2.4218137,-0.32717687,300.50977,267.74826,0.0,0.0,0.530398,0.515656,2.6667054e-05,2.5494955e-08,0.000774716,-9.313226e-10,25239094.0,1.0,7.983763e-05,-9.313226e-10,-1.1693686e-05,-0.0024422875,0.002542519,1.9799918e-06,0.25422734,0.023619294,0,0,0,0,100,0,0,0,0,0,0,0,,
2001,summit,Non-human activity,,,,ohio,39153.0,41.04,-81.52,10.0,0.0,10.0,0.0,0.0,2001-01-01,0.914063719649837,0.5299907054803141,283.70399247260923,1.530498408618038,2.2633968536167925,6.384508806274412e-05,0.0001071381931231,4788843.949999998,5.334449408907594e-05,-0.0008069742877635,0.0014518067023831,0.360294416118158,2.3963323,-0.17837739,1.967196,-0.8666799,299.26556,267.45935,2.399994,0.72731566,2.3025994,2.2265885,0.00014489688,1.2364733e-05,0.0007546693,-9.313226e-10,18871532.0,1.0,0.00025629718,3.0500814e-06,-1.0810327e-05,-0.0037827042,0.0038179867,0.00030302256,0.39147976,0.30423,10,2,0,6,0,3,0,0,79,0,0,0,,
2007,texas,Human infections,3.0,2.0,0.0,oklahoma,40139.0,36.68,-101.48,,,,,,2007-01-01,0.2591098916448958,1.7558386397688353,288.0727052035396,2.1138345052118166,1.0624671766202738,1.2055488382242873e-05,0.0001257573732825,5386900.462671229,3.594655530807907e-05,-0.0005006891829982,0.0007021017940332,0.2116161027999772,2.1552987,-2.2206016,4.9243164,-0.4395321,306.72855,268.7853,2.1162376,2.1132886,1.3417007,0.80153716,3.8827828e-05,1.2747478e-08,0.0008374434,-9.313226e-10,21465336.0,1.0,0.00031630322,-9.313226e-10,-1.030555e-05,-0.0031407631,0.0028940644,5.941838e-06,0.35206896,0.13426177,0,0,0,5,36,0,0,0,59,0,0,0,19258,0.352007455
2014,elko,Non-human activity,,,,nevada,32007.0,40.95,-115.79,0.0,0.0,0.0,4.0,0.0,2014-01-01,1.219177541504167,0.2725461505047261,281.9649907360337,0.0,0.5192508266396715,8.494371017249782e-06,0.0002431305667564,5483698.749657533,5.5123484144880335e-06,-0.0003666268400082,0.0006249932693445,0.1982049093262788,4.5643463,-0.32346046,1.4747138,-1.1747906,302.80106,267.56796,0.0,0.0,0.54420686,0.4992969,4.2142085e-05,8.9232344e-08,0.0011365302,-9.313226e-10,24984648.0,2742.0,3.0256808e-05,-9.313226e-10,-1.0179356e-05,-0.0019755014,0.0018646782,2.970919e-06,0.4384578,0.04046431,0,0,0,7,37,32,24,0,0,0,0,0,"52,531",0.819605972
2015,montgomery,Human infections and non-human activity,7.0,3.0,0.0,maryland,24031.0,39.08,-77.15,0.0,0.0,0.0,7.0,0.0,2015-01-01,0.5517183587159192,0.0018352322382469,286.19708473519097,2.3909715374855134,2.839737649159888,8.711675881672876e-05,0.0001397345208703,5118490.295205476,8.218900989485926e-05,-0.0009461377333524,0.001649505057538,0.4245700226254657,1.584999,-0.7314422,0.8847251,-0.7944162,302.39117,266.57574,3.3660004,1.5088204,3.0181732,2.679047,0.00019851139,1.1918601e-05,0.0012031374,-9.313226e-10,19368092.0,1.0,0.00042284,1.0160729e-06,-3.8068043e-05,-0.004089857,0.005363304,7.624924e-05,0.47834438,0.3539721,23,0,0,0,0,0,0,0,77,0,0,0,"1,032,814",1.478463252
2003,upson,Non-human activity,,,,georgia,13293.0,32.89,-84.32,2.0,0.0,2.0,0.0,0.0,2003-01-01,0.2784646946273437,0.0289195432646633,289.88246152694904,3.705654678606006,2.7713306185317355,0.0001306049591321,8.146967483709915e-08,5300749.302397258,0.0001288321947245,-0.0011246773857648,0.002047686379607,0.4282641384291319,1.7329116,-0.70957685,0.87928057,-0.7322991,302.52222,275.1833,4.65576,2.613894,2.9414158,2.57716,0.0003384114,2.283015e-05,1.2926757e-06,-9.313226e-10,17179942.0,1.0,0.00041444972,3.5585836e-06,-8.021621e-05,-0.004414424,0.005967864,0.00034362264,0.47163808,0.3614034,0,0,0,4,0,11,18,0,67,0,0,0,27648,-0.525879636
2003,garfield,Human infections and non-human activity,4.0,1.0,0.0,montana,30033.0,47.38,-106.81,0.0,0.0,0.0,0.0,1.0,2003-01-01,1.241673482117587,-0.1374536168085385,281.96402140578164,0.0,0.5247465829326683,5.9870646410136895e-06,0.00024643308381,4461734.861986299,7.876968776730644e-06,-0.0003778999862707,0.0006743758521361,0.1344582476334212,3.8708286,-2.3227253,1.4942646,-2.3644195,305.1103,265.093,0.0,0.0,0.55807793,0.5086894,3.272193e-05,1.147273e-07,0.0015626894,-9.313226e-10,22921208.0,1.0,0.0001517944,-9.313226e-10,-1.4343765e-05,-0.0022810134,0.0024311133,3.317371e-05,0.25512227,0.026473999,0,0,0,0,43,29,0,0,0,0,28,0,1254,-1.141125746
2002,cowley,Non-human activity,,,,kansas,20035.0,37.26,-96.96,0.0,0.0,0.0,0.0,16.0,2002-01-01,-0.283650343262986,1.0647697732464905,287.6614648479304,2.0982498560866247,1.8534527595729045,3.649415019724185e-05,8.519816863006108e-05,5118024.166780818,5.83407258589382e-05,-0.0007651899535406,0.0013182226606733,0.248786416119092,1.0432527,-1.483353,3.6921208,-0.63380265,304.1136,272.94125,2.3089414,1.9230733,2.2087364,1.5470922,0.00010883517,4.410511e-06,0.001005902,-9.313226e-10,20553074.0,1.0,0.0003132522,2.5331974e-07,-2.077967e-05,-0.004361423,0.0046265433,3.9115548e-05,0.32796258,0.17735423,0,0,0,8,0,67,25,0,0,0,0,0,,
2011,ontario,Non-human activity,,,,new york,36069.0,42.88,-77.28,0.0,0.0,0.0,0.0,1.0,2011-01-01,0.8688602368309067,0.4009323707590362,282.4906272574645,2.3191853248909715,0.4188277339282099,0.0001127689541995,0.0002906333246867,4374336.779452052,0.0001467235143972,-0.0009052825646717,0.0021669535221506,0.3652650220549268,2.0282226,-0.3105985,1.3816619,-0.7080462,301.49078,265.1143,3.5060813,1.391226,0.42527628,0.4138311,0.00026056453,2.1682907e-05,0.0025436943,-9.313226e-10,19855058.0,1.0,0.0005741273,2.5415793e-06,-2.6079593e-05,-0.0042136516,0.006052037,0.0002629161,0.39516142,0.2683083,8,0,0,10,0,10,33,1,34,0,4,0,"108,599",0.871879437
2021,allegheny,Human infections and non-human activity,3.0,2.0,0.0,pennsylvania,42003.0,40.47,-79.95,0.0,0.0,0.0,0.0,0.0,2021-01-01,0.6928855553065258,0.3578409546450392,284.6335032632905,2.440390515654055,2.944789396573417,0.0001134959865426,0.0001525464997154,4802343.816780819,0.000134806745137,-0.0009681708593246,0.0020519550487858,0.4546343061001332,2.2260396,0.052880883,1.0495458,-0.29376727,300.46945,267.94424,3.8658686,1.182579,3.0192928,2.8791513,0.00026893942,2.6526832e-05,0.001704311,-9.313226e-10,17840956.0,1.0,0.00061379233,3.5585836e-06,-3.7184684e-05,-0.0044368864,0.005702967,0.00021686777,0.47563693,0.4106131,1,0,14,8,0,2,0,0,73,0,0,0,"1,238,090",1.197172197
2014,dawson,Human infections and non-human activity,5.0,2.0,0.0,nebraska,31047.0,40.77,-99.74,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.2111801964779422,0.1205748893218497,283.7237144574726,0.0,1.1759718042530427,2.217589668636145e-05,9.489670867891334e-05,4957425.68287671,4.3578984930294816e-05,-0.0006104927490886,0.0010746652815388,0.2399453954133267,2.5650811,-1.4589154,1.9867468,-2.2434025,301.4359,265.9419,0.0,0.0,1.9851197,0.67980754,0.00011121889,1.5296973e-07,0.00059688,-9.313226e-10,20749960.0,1.0,0.00042156875,-9.313226e-10,-1.3712794e-05,-0.0038295218,0.0054712435,6.9309026e-06,0.3033464,0.16429281,0,0,0,3,0,26,35,0,37,0,0,0,"23,986",-0.866168799
2016,otero,Non-human activity,,,,new mexico,35035.0,32.88,-105.95,0.0,0.0,0.0,3.0,0.0,2016-01-01,0.1180392359205283,0.5999621144735099,287.63195552721714,3.189229558725826,0.9325442170836244,1.9177175125379448e-05,2.661963181743204e-05,6227715.4043715885,1.4434717442901412e-06,-0.0003070779066199,0.0003740077608015,0.1495978116805925,2.7567248,-1.8923639,2.139441,-0.33237392,304.02847,270.33636,3.2911675,3.1106288,1.0713079,0.82679117,7.6737866e-05,5.9910235e-07,0.0002376521,-9.313226e-10,24316324.0,1.0,7.1180984e-06,-9.313226e-10,-2.2672582e-05,-0.0017425502,0.0021518571,1.4845282e-06,0.27281693,0.10651901,0,0,0,2,98,0,0,0,0,0,0,0,"65,647",1.968376428
2017,panola,Human infections,1.0,0.0,0.0,texas,48365.0,32.15,-94.33,,,,,,2017-01-01,-0.1116512464742137,0.7149032089808214,293.31166563687253,4.035949055789269,2.642496831449743,7.918345423380217e-05,3.9048824612408513e-07,5071107.242465751,0.0001027166664804,-0.0011789834758343,0.0016293421821439,0.4003415506996519,0.8518666,-0.92102766,2.0181766,-0.19947797,305.96927,280.06265,4.7013783,3.228592,2.9868233,2.2180047,0.0002451532,4.945905e-06,1.48732215e-05,-9.313226e-10,19291348.0,1.0,0.0004060585,-9.313226e-10,-6.0151564e-05,-0.004336942,0.0079548415,1.584366e-05,0.45410204,0.30914643,0,0,2,10,11,19,57,0,0,0,0,0,"23,211",-0.033938962
2016,madison,Human infections,1.0,1.0,0.0,alabama,1089.0,34.73,-86.56,,,,,,2016-01-01,0.0805068595406136,0.2461615716580486,290.74096233597226,3.5029764449010146,2.272994035254413,7.068669044793093e-05,7.32418154798897e-06,5419961.627049183,0.0001172623189949,-0.0009634721612454,0.0016431120056353,0.3721724852227449,1.3303319,-0.6933708,1.3935409,-0.3751877,305.67136,274.03763,4.1285205,2.92539,2.6563432,1.9223578,0.00014329073,1.5551632e-06,0.00017169118,-9.313226e-10,19564524.0,1.0,0.00055098906,5.075708e-07,-4.9299095e-05,-0.004006065,0.0052197147,9.2094764e-05,0.46325523,0.27620405,0,0,88,12,0,0,0,0,0,0,0,0,"356,729",1.426458943
2019,lowndes,Non-human activity,,,,georgia,13185.0,30.84,-83.27,0.0,0.0,0.0,0.0,0.0,2019-01-01,-0.0176624732474757,0.1518220888425225,294.1211426826371,4.639026550397477,2.485056691953581,8.636422314575856e-05,-9.313225746154783e-10,5718513.015410958,9.758733468104712e-06,-0.0011838700520257,0.0015117415329058,0.1710741223946009,1.0149564,-1.3886889,1.1381431,-0.98002505,306.4172,281.10754,4.877954,4.325924,2.9047785,1.934425,0.00026273154,8.757284e-06,-9.313226e-10,-9.313226e-10,19472246.0,1.0,5.441159e-05,-9.313226e-10,-5.8637466e-05,-0.0044541745,0.005341023,4.9360096e-07,0.24240072,0.091418535,15,0,0,27,0,0,0,0,58,0,0,0,"117,406",0.42952546
2009,camp,Human infections,0.0,0.0,1.0,texas,48063.0,32.99,-94.96,,,,,,2009-01-01,-0.099234334695829,0.5457503331442399,291.6486513529737,4.3167446293243,2.4213359682527296,8.099016106339829e-05,2.9718324746171083e-06,5006356.0047945175,0.0001649857186138,-0.0010719261766883,0.0020675961834008,0.375759646480214,0.72684824,-0.8415407,1.5402956,-0.5226848,306.87524,276.26175,4.691978,3.889922,2.7486513,2.04981,0.0002168163,3.4034892e-06,3.4273602e-05,-9.313226e-10,21015372.0,1.0,0.0013404787,2.5331974e-07,-6.696605e-05,-0.004438653,0.009923499,2.7231872e-05,0.4623376,0.27053994,0,0,0,30,0,12,58,0,0,0,0,0,12364,-0.166736334
2015,butte,Human infections and non-human activity,53.0,23.0,5.0,california,6007.0,39.5,-121.67,29.0,9.0,38.0,0.0,0.0,2015-01-01,-0.6252003848960953,0.4829709729511441,291.79407290105934,2.262066622302956,2.0158121432343568,2.714519082785469e-05,9.519328707701537e-08,5862653.112671231,4.548774777005797e-05,-0.0006747262874516,0.0006956355295411,0.2097260245313381,0.9807435,-2.489931,2.504719,-0.8862307,308.06122,278.24396,2.4449673,2.116422,2.359017,1.7598858,0.0001604229,1.2747478e-08,1.6158447e-06,-9.313226e-10,24964090.0,52534.0,0.000456403,-9.313226e-10,-5.422067e-05,-0.003228467,0.005772286,0.0,0.37139487,0.1261168,33,0,0,23,16,0,20,0,0,0,0,9,"224,631",2.10985252
2002,pike,Non-human activity,,,,alabama,1109.0,31.76,-86.0,8.0,2.0,10.0,0.0,6.0,2002-01-01,-0.0862188998558749,0.1782470345905381,291.3316557792768,4.089182193965127,2.4748294457997364,0.0001168217882553,1.319436139541944e-05,5358770.334246574,3.795225925947704e-05,-0.0011103364111128,0.0018210799573627,0.2450082300358438,0.8225413,-1.558467,1.0535054,-0.69344497,303.9624,277.95728,4.644332,3.3970578,2.7939343,2.0764325,0.00027027784,2.7253409e-05,0.00022956915,-9.313226e-10,19629392.0,1.0,0.00028172322,1.0160729e-06,-5.8385078e-05,-0.003954831,0.005356868,0.00018518046,0.29171234,0.13992587,16,0,13,41,0,0,30,0,0,0,0,0,,
2006,adair,Human infections,1.0,0.0,0.0,iowa,19001.0,41.3,-94.45,,,,,,2006-01-01,0.490991878427871,0.365608725809071,284.7035735665934,0.0,1.2928511975562735,3.257427962213015e-05,6.020840844267029e-05,4691849.701027393,5.796581047446757e-05,-0.0008268783845753,0.0015168718623686,0.3067511837674329,1.9381888,-0.87189496,1.7476826,-0.9429033,302.5323,267.45038,0.0,0.0,2.3881898,0.6664963,0.00013852329,8.9232344e-08,0.0005166922,-9.313226e-10,20419226.0,1.0,0.00042258576,-9.313226e-10,-1.4974736e-05,-0.0044515245,0.004717648,3.8620085e-05,0.36351046,0.20616183,0,0,0,0,0,17,83,0,0,0,0,0,7924,-0.813272197
2002,mifflin,Non-human activity,,,,pennsylvania,42087.0,40.59,-77.57,4.0,2.0,6.0,0.0,6.0,2002-01-01,0.7755714663904004,0.0325583197074393,283.83210221382024,3.040719135820047,2.9297738303876897,0.0001050191377257,0.0002083305135522,4894671.642808217,0.0001324636475757,-0.000866855062506,0.0017546940786279,0.3402844163959155,2.0295088,-0.11355305,0.73351574,-0.32742435,301.2713,267.8009,4.6891212,1.7372816,2.991364,2.880271,0.00023526144,2.6552327e-05,0.001822006,-9.313226e-10,18813060.0,1.0,0.00087059895,5.075708e-07,-3.5039382e-05,-0.004601315,0.0052053556,6.832741e-05,0.39870715,0.20969622,16,0,30,14,0,0,0,0,40,0,0,0,,
2012,cache,Non-human activity,,,,utah,49005.0,41.72,-111.84,0.0,0.0,0.0,0.0,0.0,2012-01-01,0.0933704139267812,0.4326944141928615,281.8265714176366,4.188747937562038,2.0540985507391847,0.000138773625279,0.0003966891786969,5183082.37226776,1.4540171912296222e-05,-0.0005246529223962,0.0007557741982119,0.2521613767482544,2.0498307,-1.5049611,1.2495084,0.00964129,302.53677,265.45697,4.5061865,3.984108,2.439942,1.8056666,0.00042161206,2.0395964e-07,0.001981088,-9.313226e-10,26117094.0,1.0,0.00035444275,-9.313226e-10,-7.150229e-07,-0.0037823257,0.0029193163,1.9799918e-06,0.37727422,0.12248045,19,0,0,0,0,17,22,0,42,0,0,0,"115,895",1.110031165
2023,fayette,Human infections and non-human activity,1.0,1.0,0.0,pennsylvania,42051.0,39.89,-79.72,,,,,,2023-01-01,0.6275761108287792,0.5634137996121079,285.1567424842696,2.84777630374817,0.2309739200654857,0.0001017566100273,8.384506483032487e-05,5080306.26047904,7.739418651908635e-05,-0.0010331727577056,0.0018525629243004,0.4348201782715889,2.0048137,-0.6591579,1.1388855,-0.19056875,298.3047,274.20673,4.3301635,1.3437644,0.23182762,0.22996151,0.00029271285,2.3352768e-05,0.00090663787,-9.313226e-10,18906708.0,1.0,0.0002598567,2.0330772e-06,-6.393739e-05,-0.004186394,0.004336889,0.00018815137,0.48048538,0.37756875,4,2,20,13,0,0,36,0,25,0,0,0,,
2005,mason,Non-human activity,,,,illinois,17125.0,40.29,-90.05,1.0,0.0,1.0,0.0,0.0,2005-01-01,0.280561375699631,0.1720054831815092,285.6874861834799,2.25281138877346,1.6779361786907654,4.817976290200618e-05,0.0001163278042963,4972980.574657531,8.284971436919412e-05,-0.0009141369758664,0.0013218096336222,0.2970223641354743,1.9515653,-0.8641777,1.7919812,-0.91221595,303.39798,267.56125,2.4529853,2.1614876,2.742431,1.202741,0.00010651519,8.846517e-06,0.0009318581,-9.313226e-10,20893402.0,1.0,0.0005789581,7.6182187e-07,-1.812959e-05,-0.0041376837,0.004189834,0.00012477301,0.38753754,0.19308908,0,0,0,0,0,13,88,0,0,0,0,0,15471,0.822146424
2008,tazewell,Non-human activity,,,,illinois,17179.0,40.56,-89.62,0.0,0.0,0.0,2.0,0.0,2008-01-01,0.5104808402680311,0.4554487247366072,283.6162344927346,2.071060095002744,2.293688482925541,6.192875385909125e-05,0.0001440469908421,4678905.048497268,0.0001703359388944,-0.0009700138524366,0.0019216052844326,0.3342791671554249,2.3577461,-0.7162651,1.7583241,-0.7070563,300.6811,267.01697,2.455842,1.879298,2.9443393,1.9731147,0.0001219775,9.7770535e-06,0.0012183348,-9.313226e-10,19233788.0,1.0,0.00078999717,1.270324e-06,-3.2515498e-05,-0.0048298496,0.0076983618,0.00014408305,0.3935075,0.19195627,0,0,0,1,4,19,26,0,51,0,0,0,133893,0.713638583
2005,custer,Human infections,1.0,0.0,1.0,oklahoma,40039.0,35.57,-98.95,,,,,,2005-01-01,-0.0443926375614453,1.3856371149624858,289.41999007969684,0.2761382449163148,1.2569538740262594,2.251957203915394e-05,4.567896424193089e-05,5336927.444520545,5.595359173029252e-05,-0.0007056758570012,0.00102589882923,0.2339149792410737,1.786932,-1.5703,4.4063435,-0.9671562,305.51794,273.15067,0.27638364,0.27601504,1.6485438,1.0286994,6.824825e-05,2.4220208e-07,0.0007029353,-9.313226e-10,21437012.0,1.0,0.00032266043,-9.313226e-10,-1.5731901e-05,-0.0036237019,0.0040175263,2.2280961e-05,0.3507889,0.14988336,0,0,0,0,0,55,45,0,0,0,0,0,25876,-0.149479801
