Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,State,FIPS,Latitude,Longitude,WNV_Corvid_Count,WNV_NonCorvid_Count,Total_Bird_WNV_Count,Mos_WNV_Count,Horse_WNV_Count,Population,PD
2021,thayer,Human infections,0.0,0.0,1.0,nebraska,31169.0,40.16,-97.58,,,,,,"4,913",-0.520087334
2015,st. louis city,Human infections,8.0,5.0,0.0,missouri,29510.0,38.63572424,-90.24523805,,,,,,"316,010",1.305441112
2015,milwaukee,Human infections and non-human activity,3.0,2.0,1.0,wisconsin,55079.0,43.05,-87.89,2.0,0.0,2.0,0.0,0.0,"958,421",1.266024739
2018,pike,Non-human activity,,,,pennsylvania,42103.0,41.32,-74.8,1.0,0.0,1.0,0.0,0.0,"55,780",0.685533055
2021,caddo,Human infections and non-human activity,3.0,2.0,0.0,louisiana,22017.0,32.58019418,-93.88239685,0.0,0.0,0.0,28.0,0.0,"233,092",0.805704185
2003,burke,Human infections and non-human activity,5.0,2.0,0.0,north dakota,38013.0,48.8,-102.24,1.0,2.0,3.0,0.0,1.0,2108,-0.556171588
2022,houston,Human infections,2.0,2.0,0.0,georgia,13153.0,32.46,-83.73,,,,,,,
2009,greene,Non-human activity,,,,ohio,39057.0,39.68,-83.94,0.0,0.0,0.0,2.0,0.0,161075,1.296632819
2011,hughes,Non-human activity,,,,south dakota,46065.0,44.37,-100.32,0.0,0.0,0.0,1.0,0.0,"17,310",0.366832072
2009,cobb,Non-human activity,,,,georgia,13067.0,33.9,-84.59,1.0,0.0,1.0,0.0,0.0,684776,0.977386966
2022,orleans,Non-human activity,,,,vermont,50019.0,44.93,-72.2,,,,,,,
2002,de witt,Human infections and non-human activity,1.0,1.0,0.0,illinois,17039.0,40.17462934,-88.9040887,3.0,0.0,3.0,0.0,18.0,,
2023,fremont,Human infections and non-human activity,2.0,1.0,0.0,wyoming,56013.0,42.83,-108.72,,,,,,,
2004,harlan,Non-human activity,,,,nebraska,31083.0,40.1,-99.36,1.0,0.0,1.0,0.0,0.0,3633,-0.520712455
2014,richland,Human infections,2.0,1.0,0.0,north dakota,38077.0,46.26,-96.6,0.0,0.0,0.0,0.0,0.0,"16,345",0.02575047
2005,coal,Non-human activity,,,,oklahoma,40029.0,34.53,-96.21,0.0,0.0,0.0,0.0,0.0,5743,-0.802902901
2016,ottawa,Non-human activity,,,,michigan,26139.0,43.05,-86.22,0.0,1.0,1.0,0.0,0.0,"283,712",1.089011888
2019,luna,Non-human activity,,,,new mexico,35029.0,32.26,-107.75,0.0,0.0,0.0,0.0,1.0,"23,709",1.390252747
2023,fulton,Non-human activity,0.0,0.0,0.0,pennsylvania,42057.0,39.93,-77.99,,,,,,,
2022,knox,Non-human activity,,,,illinois,17095.0,40.95,-90.37,,,,,,,
2018,williamson,Non-human activity,,,,texas,48491.0,30.64,-97.68,0.0,0.0,0.0,11.0,0.0,"566,463",2.094789514
2006,bronx,Human infections and non-human activity,1.0,1.0,0.0,new york,36005.0,40.82,-73.93,0.0,4.0,4.0,9.0,0.0,1348164,0.809939588
2014,lea,Human infections,3.0,3.0,0.0,new mexico,35025.0,32.94,-103.35,,,,,,"70,165",0.626443452
2013,buffalo,Human infections and non-human activity,13.0,6.0,0.0,nebraska,31019.0,40.72,-99.16,0.0,0.0,0.0,0.0,0.0,"47,999",0.534464173
2002,hancock,Human infections and non-human activity,1.0,0.0,0.0,illinois,17067.0,40.41,-91.13,1.0,0.0,1.0,0.0,12.0,,
2006,dodge,Human infections and non-human activity,7.0,1.0,0.0,nebraska,31053.0,41.44,-96.49,3.0,0.0,3.0,0.0,0.0,36597,0.434717956
2007,pondera,Human infections,3.0,0.0,0.0,montana,30073.0,48.2,-111.85,,,,,,6169,-0.965236229
2005,monona,Human infections,1.0,0.0,0.0,iowa,19133.0,42.02,-96.08,0.0,0.0,0.0,0.0,0.0,9566,-0.305289987
2016,grenada,Human infections,1.0,1.0,0.0,mississippi,28043.0,33.77,-89.81,,,,,,"21,219",-0.60697839
2023,sangamon,Human infections and non-human activity,1.0,1.0,0.0,illinois,17167.0,39.8,-89.65,,,,,,,
2002,jefferson,Non-human activity,,,,oklahoma,40067.0,34.18,-98.02,0.0,0.0,0.0,0.0,2.0,,
2007,white pine,Non-human activity,,,,nevada,32033.0,39.42,-115.0,0.0,0.0,0.0,0.0,0.0,9626,0.529573789
2012,boone,Non-human activity,,,,west virginia,54005.0,38.05,-81.8,0.0,0.0,0.0,0.0,0.0,"24,358",-1.384985281
2017,imperial,Human infections,3.0,2.0,0.0,california,6025.0,32.77,-115.6,0.0,0.0,0.0,0.0,0.0,"181,649",1.482746249
2009,red willow,Non-human activity,,,,nebraska,31145.0,40.2,-100.62,0.0,0.0,0.0,0.0,0.0,11018,-1.084523886
2008,elkhart,Non-human activity,,,,indiana,18039.0,41.57,-85.83,0.0,0.0,0.0,0.0,0.0,197762,1.270115392
2003,huron,Human infections,1.0,0.0,0.0,michigan,26063.0,43.8,-82.99,0.0,0.0,0.0,0.0,0.0,35313,0.247519591
2013,butte,Human infections and non-human activity,24.0,11.0,2.0,california,6007.0,39.5,-121.67,41.0,1.0,42.0,0.0,0.0,"221,641",2.10985252
2012,sheboygan,Non-human activity,,,,wisconsin,55117.0,43.7,-87.74,1.0,0.0,1.0,0.0,0.0,"114,767",0.704622076
2020,mclean,Human infections,2.0,1.0,0.0,north dakota,38055.0,47.29,-101.02,,,,,,"9,749",-0.148171588
2001,cumberland,Non-human activity,,,,new jersey,34011.0,39.42,-75.22,4.0,2.0,6.0,0.0,1.0,,
2011,price,Non-human activity,,,,wisconsin,55099.0,45.69,-90.39,1.0,0.0,1.0,0.0,0.0,"13,984",-0.119086846
2018,plumas,Non-human activity,,,,california,6063.0,39.96,-121.0,0.0,0.0,0.0,0.0,0.0,"18,741",1.86370814
2002,boone,Human infections and non-human activity,1.0,0.0,0.0,iowa,19015.0,42.05,-93.87,2.0,0.0,2.0,0.0,17.0,,
2003,lincoln,Non-human activity,,,,new mexico,35027.0,33.64,-105.88,0.0,0.0,0.0,0.0,17.0,19930,1.68191886
2012,hanson,Human infections and non-human activity,3.0,2.0,2.0,south dakota,46061.0,43.65,-97.77,0.0,0.0,0.0,0.0,1.0,"3,380",-0.938817085
2003,tazewell,Non-human activity,,,,virginia,51185.0,37.12,-81.51,1.0,0.0,1.0,0.0,0.0,44042,0.512060887
2018,meigs,Non-human activity,,,,ohio,39105.0,39.11,-82.05,0.0,0.0,0.0,0.0,0.0,"23,064",-0.233083356
2003,imperial,Human infections and non-human activity,1.0,1.0,0.0,california,6025.0,32.77,-115.6,0.0,0.0,0.0,0.0,0.0,148984,1.482746249
2023,du page,Human infections and non-human activity,16.0,15.0,8.0,illinois,17043.0,41.86603908,-88.10798055,,,,,,,
2002,rock,Non-human activity,,,,nebraska,31149.0,42.58,-99.53,1.0,0.0,1.0,0.0,6.0,,
2003,york,Human infections and non-human activity,16.0,9.0,1.0,pennsylvania,42133.0,39.96,-76.73,25.0,1.0,26.0,0.0,41.0,395093,1.149243287
2003,thomas,Human infections,2.0,0.0,0.0,nebraska,31171.0,41.97,-100.57,0.0,0.0,0.0,0.0,0.0,689,-0.738506617
2013,antelope,Human infections and non-human activity,1.0,0.0,1.0,nebraska,31003.0,42.13,-98.02,0.0,1.0,1.0,0.0,0.0,"6,472",0.000747626
2019,kingsbury,Human infections,1.0,0.0,0.0,south dakota,46077.0,44.38,-97.54,,,,,,"4,939",-1.030394787
2005,massac,Non-human activity,,,,illinois,17127.0,37.15,-88.71,0.0,0.0,0.0,0.0,1.0,15477,0.884924394
2013,clearfield,Non-human activity,,,,pennsylvania,42033.0,41.02,-78.43,0.0,1.0,1.0,0.0,0.0,"81,428",0.8542274
2012,orange,Non-human activity,,,,new york,36071.0,41.4,-74.32,0.0,0.0,0.0,0.0,0.0,"373,699",1.199900751
2016,sequoyah,Non-human activity,,,,oklahoma,40135.0,35.46,-94.8,0.0,0.0,0.0,0.0,1.0,"41,867",0.950494731
2017,buffalo,Human infections and non-human activity,1.0,1.0,0.0,wisconsin,55011.0,44.33,-91.92,1.0,0.0,1.0,0.0,0.0,"13,105",0.139288953
2023,stearns,Human infections,1.0,0.0,1.0,minnesota,27145.0,45.55,-94.17,,,,,,,
2004,wapello,Non-human activity,,,,iowa,19179.0,41.01,-92.41,0.0,0.0,0.0,0.0,1.0,35709,-0.469301694
2002,pontotoc,Human infections and non-human activity,1.0,1.0,0.0,mississippi,28115.0,34.24,-89.0,7.0,0.0,7.0,0.0,7.0,,
2020,larimer,Human infections and non-human activity,3.0,0.0,1.0,colorado,8069.0,40.59,-105.13,0.0,0.0,0.0,0.0,0.0,"359,686",2.499692817
2013,olmsted,Human infections,1.0,0.0,1.0,minnesota,27109.0,44.07,-92.51,,,,,,"148,851",0.8820433
2007,phillips,Human infections,2.0,0.0,0.0,colorado,8095.0,40.58,-102.3,,,,,,4378,-0.498103999
2012,lee,Non-human activity,,,,florida,12071.0,26.62,-81.84,,,,,,"644,197",0.994700977
2022,valley,Human infections,2.0,1.0,0.0,nebraska,31175.0,41.6,-98.92,,,,,,,
2008,frio,Human infections and non-human activity,1.0,1.0,0.0,texas,48163.0,28.88,-99.09,0.0,0.0,0.0,0.0,1.0,16939,0.504795446
2023,gallatin,Non-human activity,0.0,0.0,0.0,illinois,17059.0,37.71,-88.16,,,,,,,
2003,washington,Human infections and non-human activity,1.0,1.0,2.0,kansas,20201.0,39.81,-97.05,2.0,0.0,2.0,0.0,1.0,6156,-0.104272864
2000,middlesex,Non-human activity,,,,massachusetts,25017.0,42.66,-71.3,125.0,1.0,126.0,0.0,1.0,,
2021,union,Human infections,2.0,1.0,0.0,arkansas,5139.0,33.21,-92.66,,,,,,"38,340",-0.303318577
2023,dubois,Non-human activity,0.0,0.0,0.0,indiana,18037.0,38.39,-86.93,,,,,,,
2007,sussex,Non-human activity,,,,new jersey,34037.0,41.05,-74.75,2.0,0.0,2.0,0.0,0.0,150600,1.030717691
2005,onondaga,Non-human activity,,,,new york,36067.0,43.04,-76.15,31.0,0.0,31.0,0.0,0.0,460910,1.036488451
2003,beaverhead,Non-human activity,,,,montana,30001.0,45.05,-112.82,0.0,0.0,0.0,0.0,3.0,8924,0.736741285
2017,berkshire,Non-human activity,,,,massachusetts,25003.0,42.45,-73.26,0.0,0.0,0.0,30.0,0.0,"126,353",0.908726764
2021,burlington,Human infections and non-human activity,8.0,6.0,1.0,new jersey,34005.0,39.99,-74.78,1.0,1.0,2.0,0.0,0.0,"464,269",1.327202908
2022,jackson,Human infections,2.0,2.0,0.0,missouri,29095.0,39.12,-94.41,,,,,,,
2003,scott,Non-human activity,,,,arkansas,5127.0,34.89,-94.09,1.0,0.0,1.0,0.0,0.0,10936,1.059064309
2006,franklin,Human infections,1.0,0.0,0.0,nebraska,31061.0,40.09,-98.95,0.0,0.0,0.0,0.0,0.0,3352,-0.825789895
2016,shawano,Non-human activity,,,,wisconsin,55115.0,44.77,-88.58,1.0,0.0,1.0,0.0,0.0,"40,952",0.142112437
2004,san joaquin,Human infections and non-human activity,2.0,0.0,1.0,california,6077.0,37.96,-121.29,46.0,11.0,57.0,2.0,19.0,642898,1.546661755
2018,humboldt,Human infections,2.0,1.0,0.0,iowa,19091.0,42.72,-94.19,,,,,,"9,559",-0.514261854
2002,highland,Non-human activity,,,,ohio,39071.0,39.2,-83.61,3.0,0.0,3.0,0.0,1.0,,
2007,dauphin,Non-human activity,,,,pennsylvania,42043.0,40.26,-76.89,0.0,0.0,0.0,0.0,0.0,263096,1.103116213
2021,cameron,Human infections and non-human activity,1.0,1.0,0.0,texas,48061.0,25.96,-97.55,0.0,0.0,0.0,2.0,0.0,"423,029",2.816509
2011,yavapai,Human infections,1.0,0.0,0.0,arizona,4025.0,34.62,-112.42,0.0,0.0,0.0,0.0,0.0,"211,044",3.605521895
2014,gray,Human infections,1.0,1.0,0.0,kansas,20069.0,37.8,-100.34,,,,,,"6,062",-0.656537736
2002,lea,Non-human activity,,,,new mexico,35025.0,32.94,-103.35,0.0,0.0,0.0,0.0,8.0,,
2018,cumberland,Human infections,2.0,1.0,0.0,maine,23005.0,43.66,-70.25,0.0,0.0,0.0,0.0,0.0,"293,673",1.101700645
2017,fountain,Non-human activity,,,,indiana,18045.0,40.13,-87.39,0.0,0.0,0.0,0.0,0.0,"16,419",0.1508489
2023,dona ana,Human infections and non-human activity,1.0,1.0,0.0,new mexico,35013.0,32.35264809,-106.8327213,,,,,,,
2009,vermillion,Non-human activity,,,,indiana,18165.0,39.85381146,-87.46397828,0.0,0.0,0.0,0.0,0.0,16377,0.115048342
2005,hancock,Human infections and non-human activity,1.0,0.0,0.0,ohio,39063.0,41.04,-83.64,2.0,1.0,3.0,4.0,0.0,73585,1.062623619
2016,kemper,Non-human activity,,,,mississippi,28069.0,32.76,-88.65,0.0,0.0,0.0,0.0,1.0,"10,035",-0.339505976
2000,warren,Non-human activity,,,,new york,36113.0,43.34,-73.67,8.0,0.0,8.0,0.0,0.0,,
2004,mchenry,Non-human activity,,,,north dakota,38049.0,48.34,-100.4,1.0,0.0,1.0,0.0,0.0,5669,0.076030259
2006,virginia beach city,Human infections and non-human activity,0.0,0.0,2.0,virginia,51810.0,36.77776323,-76.01632814,1.0,0.0,1.0,0.0,0.0,437739,1.414042091
2018,otoe,Human infections,3.0,3.0,1.0,nebraska,31131.0,40.67,-95.86,,,,,,"15,983",0.316091182
2005,livingston,Human infections and non-human activity,21.0,11.0,1.0,louisiana,22063.0,30.44013624,-90.72790744,3.0,6.0,9.0,0.0,0.0,109208,0.240349315
2014,prince georges,Human infections and non-human activity,2.0,2.0,1.0,maryland,24033.0,38.81562153,-76.74926165,0.0,0.0,0.0,0.0,0.0,"899,686",1.276707319
2023,forsyth,Non-human activity,0.0,0.0,0.0,north carolina,37067.0,36.1,-80.24,,,,,,,
2004,dodge,Non-human activity,,,,minnesota,27039.0,44.06,-92.75,1.0,0.0,1.0,0.0,0.0,19162,0.002478884
2019,new york,Non-human activity,,,,new york,36061.0,40.77416187,-73.96979712,0.0,0.0,0.0,13.0,0.0,"1,628,706",1.360218804
2023,custer,Human infections and non-human activity,1.0,0.0,0.0,montana,30017.0,46.22,-105.6,,,,,,,
2003,suffolk,Human infections and non-human activity,1.0,1.0,0.0,massachusetts,25025.0,42.36,-71.06,10.0,1.0,11.0,0.0,0.0,697080,0.963408002
2002,simpson,Human infections and non-human activity,4.0,3.0,0.0,mississippi,28127.0,31.96,-89.86,1.0,0.0,1.0,0.0,3.0,,
2006,san mateo,Non-human activity,,,,california,6081.0,37.46,-122.24,1.0,6.0,7.0,0.0,0.0,690176,1.649763614
2007,madison,Non-human activity,,,,texas,48313.0,30.95,-95.9,0.0,0.0,0.0,0.0,1.0,13353,-0.106887819
2018,starke,Non-human activity,,,,indiana,18149.0,41.29,-86.62,0.0,0.0,0.0,0.0,0.0,"22,951",0.143474175
2016,fulton,Non-human activity,,,,illinois,17057.0,40.39,-90.15,0.0,0.0,0.0,3.0,0.0,"35,473",0.649503394
2009,churchill,Non-human activity,,,,nevada,32001.0,39.5,-118.29,0.0,0.0,0.0,0.0,0.0,25067,0.746975587
2011,fremont,Human infections,1.0,1.0,0.0,wyoming,56013.0,42.83,-108.72,,,,,,"40,519",1.1115199
2009,kane,Non-human activity,,,,illinois,17089.0,41.88,-88.31,0.0,0.0,0.0,4.0,0.0,511273,1.255217888
2018,uintah,Human infections and non-human activity,1.0,1.0,0.0,utah,49047.0,40.55,-109.57,0.0,0.0,0.0,0.0,0.0,"35,405",1.227376
2003,putnam,Human infections,1.0,0.0,1.0,georgia,13237.0,33.32,-83.38,0.0,0.0,0.0,0.0,0.0,19494,0.21132568
2023,clark,Human infections,2.0,1.0,0.0,south dakota,46025.0,44.88,-97.73,,,,,,,
2007,vanderburgh,Human infections and non-human activity,3.0,3.0,0.0,indiana,18163.0,37.97,-87.57,0.0,0.0,0.0,0.0,0.0,177789,1.320369353
2016,otsego,Non-human activity,,,,michigan,26137.0,45.02,-84.67,0.0,1.0,1.0,0.0,0.0,"24,408",0.037306744
2009,allegheny,Non-human activity,,,,pennsylvania,42003.0,40.47,-79.95,0.0,0.0,0.0,0.0,0.0,1222171,1.197172197
2017,chippewa,Non-human activity,,,,wisconsin,55017.0,44.93,-91.39,3.0,0.0,3.0,0.0,0.0,"63,747",0.259897738
2016,morgan,Human infections,1.0,0.0,1.0,colorado,8087.0,40.26,-103.79,,,,,,"28,199",0.07637331
2006,stanton,Human infections,0.0,0.0,1.0,kansas,20187.0,37.57042111,-101.7488192,,,,,,,
2017,palo pinto,Non-human activity,,,,texas,48363.0,32.76,-98.28,0.0,0.0,0.0,0.0,1.0,"28,544",0.650731485
2002,alexander,Non-human activity,,,,north carolina,37003.0,35.92,-81.17,6.0,0.0,6.0,0.0,0.0,,
2006,polk,Human infections and non-human activity,2.0,1.0,0.0,nebraska,31143.0,41.17,-97.54,3.0,0.0,3.0,0.0,0.0,5409,-0.88216063
2021,kendall,Human infections,1.0,1.0,0.0,texas,48259.0,29.8,-98.73,,,,,,"46,788",1.742904649
2023,lincoln,Human infections and non-human activity,6.0,4.0,2.0,nebraska,31111.0,41.13,-100.77,,,,,,,
2023,grant,Non-human activity,0.0,0.0,0.0,indiana,18053.0,40.6,-85.63,,,,,,,
2013,osage,Human infections,2.0,1.0,0.0,oklahoma,40113.0,36.66,-96.33,,,,,,"47,391",0.983733573
2007,milwaukee,Human infections and non-human activity,1.0,1.0,0.0,wisconsin,55079.0,43.05,-87.89,0.0,1.0,1.0,0.0,0.0,931453,1.266024739
2009,wichita,Non-human activity,,,,texas,48485.0,33.89,-98.51,0.0,0.0,0.0,4.0,1.0,130913,0.393180335
2003,swisher,Human infections,13.0,3.0,0.0,texas,48437.0,34.53,-101.77,,,,,,8062,-0.370544462
2010,lincoln,Human infections,1.0,1.0,0.0,arkansas,5079.0,33.94,-91.84,,,,,,14134,-1.067071746
2017,cass,Human infections and non-human activity,4.0,0.0,0.0,north dakota,38017.0,46.93,-96.83,2.0,0.0,2.0,0.0,0.0,"177,745",0.470340792
2008,boone,Human infections,2.0,2.0,0.0,illinois,17007.0,42.25,-88.84,,,,,,54211,0.63927467
2009,harvey,Human infections,1.0,0.0,0.0,kansas,20079.0,38.04,-97.34,,,,,,34547,1.006286354
2009,finney,Non-human activity,,,,kansas,20055.0,37.97,-100.86,0.0,0.0,0.0,0.0,0.0,36300,0.047402065
2006,marion,Human infections,0.0,0.0,1.0,kansas,20115.0,38.34,-97.01,0.0,0.0,0.0,0.0,0.0,12804,0.377840552
2017,fillmore,Human infections,1.0,0.0,0.0,nebraska,31059.0,40.52,-97.6,,,,,,"5,561",-0.320692164
2001,franklin,Non-human activity,,,,georgia,13119.0,34.36,-83.23,1.0,0.0,1.0,0.0,0.0,,
2011,cabell,Non-human activity,,,,west virginia,54011.0,38.41,-82.43,0.0,0.0,0.0,0.0,0.0,"96,612",0.452471823
2014,clark,Non-human activity,,,,wisconsin,55019.0,44.56,-90.59,1.0,0.0,1.0,0.0,0.0,"34,355",0.108393554
2007,randolph,Human infections,1.0,1.0,0.0,missouri,29175.0,39.43,-92.54,,,,,,25597,-0.233083586
2002,richmond,Non-human activity,,,,georgia,13245.0,33.45,-81.99,1.0,0.0,1.0,0.0,1.0,,
2023,carter,Non-human activity,0.0,0.0,0.0,montana,30011.0,45.77,-104.51,,,,,,,
2002,franklin,Non-human activity,,,,indiana,18047.0,39.42,-85.0,1.0,0.0,1.0,0.0,0.0,,
2002,livingston,Non-human activity,,,,illinois,17105.0,40.87,-88.64,2.0,0.0,2.0,0.0,6.0,,
2013,cape may,Non-human activity,,,,new jersey,34009.0,38.94,-74.9,3.0,0.0,3.0,0.0,0.0,"95,498",1.575811018
2003,buffalo,Non-human activity,,,,wisconsin,55011.0,44.33,-91.92,0.0,0.0,0.0,0.0,1.0,13807,0.139288953
2002,providence,Human infections and non-human activity,1.0,1.0,0.0,rhode island,44007.0,41.82,-71.41,84.0,1.0,85.0,1.0,0.0,,
2002,davie,Non-human activity,,,,north carolina,37059.0,35.89,-80.55,4.0,0.0,4.0,0.0,0.0,,
2002,bristol,Non-human activity,,,,rhode island,44001.0,41.67,-71.27,21.0,0.0,21.0,0.0,0.0,,
2013,posey,Non-human activity,,,,indiana,18129.0,37.93,-87.89,0.0,0.0,0.0,0.0,0.0,"25,561",0.831588561
2014,washington,Human infections and non-human activity,3.0,1.0,0.0,,11001.0,38.9083781,-77.03478235,3.0,0.0,3.0,0.0,0.0,"662,328",1.234400107
2021,berks,Non-human activity,,,,pennsylvania,42011.0,40.36,-75.94,0.0,0.0,0.0,0.0,0.0,"429,342",1.182395281
2012,cumberland,Non-human activity,,,,new jersey,34011.0,39.42,-75.22,4.0,1.0,5.0,0.0,0.0,"156,934",0.966785926
2016,harrison,Human infections and non-human activity,0.0,0.0,2.0,mississippi,28047.0,30.41,-88.88,0.0,0.0,0.0,2.0,0.0,"202,504",0.856364104
2009,marion,Human infections and non-human activity,2.0,2.0,0.0,indiana,18097.0,39.77,-86.11,1.0,1.0,2.0,0.0,0.0,898394,1.183313065
2006,hale,Human infections and non-human activity,3.0,1.0,0.0,texas,48189.0,34.19,-101.72,0.0,0.0,0.0,0.0,1.0,36162,0.017338054
2003,martin,Human infections and non-human activity,1.0,1.0,0.0,minnesota,27091.0,43.64,-94.45,1.0,0.0,1.0,0.0,0.0,21209,-0.033837969
2003,union,Human infections and non-human activity,1.0,1.0,0.0,ohio,39159.0,40.23,-83.37,1.0,1.0,2.0,0.0,0.0,44665,0.968307441
2012,orange,Human infections and non-human activity,42.0,26.0,9.0,california,6059.0,33.75,-117.85,82.0,10.0,92.0,0.0,0.0,"3,078,068",2.59173576
2015,cameron,Non-human activity,,,,texas,48061.0,25.96,-97.55,0.0,0.0,0.0,1.0,0.0,"419,450",2.816509
2014,gibson,Non-human activity,,,,indiana,18051.0,38.35,-87.56,0.0,0.0,0.0,0.0,0.0,"33,723",1.332797549
2006,howard,Human infections,1.0,0.0,1.0,maryland,24027.0,39.27,-76.83,,,,,,271793,1.360609947
2005,terry,Non-human activity,,,,texas,48445.0,33.17,-102.27,0.0,0.0,0.0,0.0,1.0,12417,-0.546223921
2018,stevens,Human infections,1.0,0.0,0.0,kansas,20189.0,37.17,-101.34,,,,,,"5,536",-0.642040366
2007,monroe,Non-human activity,,,,pennsylvania,42089.0,40.98,-75.19,1.0,0.0,1.0,0.0,0.0,167352,0.967196696
2002,taney,Non-human activity,,,,missouri,29213.0,36.68,-93.1,25.0,0.0,25.0,0.0,1.0,,
2023,st. charles,Human infections and non-human activity,3.0,2.0,1.0,missouri,29183.0,38.79,-90.51,,,,,,,
2012,fremont,Human infections,1.0,0.0,0.0,iowa,19071.0,40.74,-95.64,,,,,,"7,141",-0.01502005
2002,dixie,Non-human activity,,,,florida,12029.0,29.63,-83.12,1.0,0.0,1.0,0.0,0.0,,
2019,genesee,Human infections and non-human activity,1.0,1.0,0.0,michigan,26049.0,43.01,-83.69,0.0,1.0,1.0,0.0,0.0,"405,813",0.788023306
2012,fulton,Human infections and non-human activity,9.0,4.0,2.0,georgia,13121.0,33.75,-84.39,0.0,0.0,0.0,0.0,0.0,"973,221",1.186015055
2014,cape may,Non-human activity,,,,new jersey,34009.0,38.94,-74.9,0.0,0.0,0.0,0.0,0.0,"94,907",1.575811018
2016,elko,Non-human activity,,,,nevada,32007.0,40.95,-115.79,0.0,0.0,0.0,3.0,5.0,"52,082",0.819605972
2003,peoria,Non-human activity,,,,illinois,17143.0,40.67,-89.61,1.0,0.0,1.0,0.0,0.0,182338,0.981146122
2005,pushmataha,Non-human activity,,,,oklahoma,40127.0,34.23,-95.61,0.0,0.0,0.0,0.0,1.0,11361,-0.272950839
2013,grant,Non-human activity,,,,washington,53025.0,47.27,-119.59,0.0,0.0,0.0,0.0,0.0,"91,701",1.246692381
2007,fannin,Non-human activity,,,,texas,48147.0,33.58,-96.18,0.0,0.0,0.0,0.0,1.0,33644,0.6362311
2014,seward,Human infections and non-human activity,3.0,0.0,1.0,nebraska,31159.0,40.91,-97.09,0.0,0.0,0.0,0.0,0.0,"17,012",0.299288101
2003,bledsoe,Non-human activity,,,,tennessee,47007.0,35.6,-85.19,3.0,0.0,3.0,0.0,0.0,12502,0.488335857
2009,forrest,Human infections,10.0,8.0,0.0,mississippi,28035.0,31.31,-89.3,0.0,0.0,0.0,0.0,0.0,74863,0.538232795
2004,boone,Human infections,1.0,0.0,0.0,nebraska,31011.0,41.68,-98.0,0.0,0.0,0.0,0.0,0.0,5813,-0.756175074
2013,gallatin,Non-human activity,,,,illinois,17059.0,37.71,-88.16,0.0,0.0,0.0,0.0,0.0,"5,386",0.306018486
2002,rankin,Human infections and non-human activity,12.0,11.0,0.0,mississippi,28121.0,32.28,-90.0,8.0,3.0,11.0,0.0,13.0,,
2013,adams,Human infections,1.0,1.0,0.0,mississippi,28001.0,31.54,-91.38,0.0,0.0,0.0,0.0,0.0,"32,111",0.527529003
2020,franklin,Non-human activity,,,,washington,53021.0,46.41,-118.9,0.0,0.0,0.0,0.0,0.0,"97,076",0.569948519
2002,clay,Non-human activity,,,,kentucky,21051.0,37.15,-83.76,0.0,1.0,1.0,0.0,0.0,,
2017,chisago,Human infections,0.0,0.0,1.0,minnesota,27025.0,45.39,-92.81,,,,,,"55,257",0.489073328
2013,young,Human infections,0.0,0.0,1.0,texas,48503.0,33.1,-98.57,,,,,,"18,354",0.297672214
